fold,max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,3,20,0,5,1,0.259411274289745,0.208438605356241,0.0509726689335049,0.81929767707501,0.754476784893819,0.0648208921811908,26798750,4762500,22036250,165,2625,44154,127
1,3,20,0,10,0.3,0.21745527306968,0.205336426914153,0.0121188461555267,0.785406530175751,0.771390620776739,0.0140159093990119,21550000,4922500,16627500,177,2965,43814,115
1,3,20,0,10,0.5,0.233360014777415,0.221433814533888,0.0119262002435273,0.795597650005729,0.780666238245882,0.0149314117598467,23438750,5401250,18037500,181,2738,44041,111
1,3,20,0,10,0.7,0.246858738418581,0.210880958322935,0.0359777800956462,0.805503387046059,0.760845114904914,0.0446582721411445,25042500,4901250,20141250,169,2670,44109,123
1,3,20,0,10,1,0.247869868319132,0.195121951219512,0.0527479170996202,0.801906636421306,0.732750938762769,0.0691556976585369,24875000,4191250,20683750,152,2575,44204,140
1,3,20,5,0,0.3,0.214192375433214,0.195729537366548,0.018462838066666,0.790240503880296,0.767679531882208,0.0225609719980882,21538750,4640000,16898750,176,3152,43627,116
1,3,20,5,0,0.5,0.236611549851925,0.215959004392387,0.0206525454595384,0.799562620178273,0.773656594824923,0.02590602535335,23930000,5187500,18742500,177,2753,44026,115
1,3,20,5,0,0.7,0.248648308814284,0.211822660098522,0.0368256487157617,0.810707714818262,0.765447673364731,0.0452600414535309,25507500,4985000,20522500,172,2720,44059,120
1,3,20,5,0,1,0.259698414744168,0.203189300411523,0.0565091143326454,0.818205825550839,0.743163862604312,0.0750419629465263,26742500,4500000,22242500,158,2562,44217,134
1,3,20,5,5,0.3,0.216791259344451,0.196408529741863,0.0203827296025878,0.790804328266369,0.766394745388327,0.0244095828780421,21802500,4641250,17161250,175,3112,43667,117
1,3,20,5,5,0.5,0.232143953816864,0.217024354955389,0.0151195988614747,0.794623910868673,0.778301907512064,0.0163220033566091,23286250,5276250,18010000,180,2799,43980,112
1,3,20,5,5,0.7,0.243338683788122,0.215341488277268,0.0279971955108539,0.797377304229067,0.761732265121892,0.0356450391071752,24271250,5005000,19266250,169,2587,44192,123
1,3,20,5,5,1,0.256171252249936,0.213554987212276,0.0426162650376594,0.814227494610852,0.758435870269618,0.0557916243412339,26245000,4922500,21322500,167,2575,44204,125
1,3,20,5,10,0.3,0.213047734208556,0.198915009041591,0.0141327251669651,0.784835226962834,0.768449107974044,0.0163861189887898,21131250,4730000,16401250,176,3080,43699,116
1,3,20,5,10,0.5,0.228888344159823,0.213592233009709,0.0152961111501148,0.790653596389152,0.771698429250685,0.0189551671384666,22792500,5110000,17682500,176,2776,44003,116
1,3,20,5,10,0.7,0.226967253176931,0.213923132704859,0.013044120472072,0.78879697133365,0.773239741108512,0.0155572302251382,22530000,5138750,17391250,177,2792,43987,115
1,3,20,5,10,1,0.234181633559688,0.212602459016393,0.0215791745432943,0.788275885388775,0.75677698428665,0.0314989011021245,23043750,4880000,18163750,166,2570,44209,126
1,3,20,10,0,0.3,0.208611111111111,0.198869810910672,0.00974130020043951,0.787882051602578,0.778618354682627,0.00926369691995088,20890000,4858750,16031250,183,3250,43529,109
1,3,20,10,0,0.5,0.228708540882031,0.210627094303495,0.0180814465785368,0.792853332358424,0.771078492954484,0.0217748394039403,22912500,5037500,17875000,176,2834,43945,116
1,3,20,10,0,0.7,0.240836393054951,0.217980295566502,0.0228560974884481,0.802949329930059,0.774062759984503,0.0288865699455561,24453750,5235000,19218750,177,2715,44064,115
1,3,20,10,0,1,0.258191688748142,0.212496837844675,0.045694850903467,0.815310792040936,0.759699279649837,0.055611512391099,26448750,4918750,21530000,168,2617,44162,124
1,3,20,10,5,0.3,0.207325120985482,0.192431045542014,0.0148940754434676,0.788682638396503,0.772636972391604,0.0160456660048989,20810000,4613750,16196250,180,3329,43450,112
1,3,20,10,5,0.5,0.224033816425121,0.207885304659498,0.0161485117656226,0.787853163518589,0.767557638408758,0.0202955251098315,22240000,4928750,17311250,174,2843,43936,118
1,3,20,10,5,0.7,0.240582462804685,0.219573400250941,0.021009062553744,0.797650939152137,0.771418367098924,0.0262325720532133,24096250,5228750,18867500,175,2642,44137,117
1,3,20,10,5,1,0.24972786066466,0.204493814693259,0.045234045971401,0.806741669378475,0.749275667251462,0.057466002127013,25318750,4608750,20710000,162,2631,44148,130
1,3,20,10,10,0.3,0.211436397877076,0.201918786256136,0.00951761162094014,0.784849125363898,0.776444258297615,0.0084048670662833,20986250,4907500,16078750,181,3133,43646,111
1,3,20,10,10,0.5,0.224198854636286,0.212536023054755,0.0116628315815311,0.785658771856294,0.772951150074073,0.0127076217822205,22122500,5105000,17017500,177,2819,43960,115
1,3,20,10,10,0.7,0.226630635057118,0.210348162475822,0.0162824725812962,0.786873004807314,0.76808137769348,0.0187916271138342,22387500,4990000,17397500,174,2794,43985,118
1,3,20,10,10,1,0.233905171868076,0.205172842576474,0.0287323292916027,0.788599753594504,0.753803405813462,0.0347963477810418,23043750,4683750,18360000,165,2688,44091,127
1,2,30,0,0,0.3,0.222096687875364,0.2089656782629,0.0131310096124643,0.789320191798392,0.775125246459086,0.0141949453393062,22168750,5056250,17112500,179,2936,43843,113
1,2,30,0,0,0.5,0.232436747727831,0.217602723073183,0.0148340246546484,0.795051993060454,0.776942301120366,0.0181096919400883,23335000,5268750,18066250,179,2766,44013,113
