max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,diff_percent
1,40,15,5,0.146347476679632,0.139651128262135,0.845521599222233
2,30,15,20,0.146046103128885,0.139574675762139,0.817121702043597
1,40,20,5,0.144918013039289,0.139443482269761,0.691247486338792
3,20,15,10,0.145675174594969,0.139280694651444,0.807405853303165
2,40,15,20,0.145986209449563,0.139200777507413,0.856769825797972
2,30,20,15,0.144405655776809,0.138622548267717,0.730210258592028
3,20,20,5,0.145545634839442,0.138411090083685,0.900850928820977
2,40,20,15,0.144271359196836,0.138277489699843,0.756822346547202
1,40,15,20,0.142197554617026,0.137933526331965,0.538402094683968
3,20,20,10,0.144088147739243,0.137581038974706,0.821627051921186
1,40,15,15,0.144541079631183,0.137575362803748,0.87953368977536
1,40,20,15,0.141829242404767,0.137378779825916,0.56194242030729
1,40,10,20,0.143893218717768,0.137227293027742,0.841680240980447
1,30,0,0,0.142387803843645,0.136317406551881,0.76648521045228
1,30,0,5,0.142387803843645,0.136317406551881,0.76648521045228
1,30,0,10,0.142387803843645,0.136317406551881,0.76648521045228
1,30,0,15,0.142387803843645,0.136317406551881,0.76648521045228
1,30,10,10,0.141435991147953,0.136285285093174,0.650359412180727
1,30,0,20,0.142577724173476,0.136062363320766,0.82266901066561
2,40,20,20,0.143139325975764,0.135669637855585,0.943168164392851
1,30,5,5,0.141158479895736,0.135535346188853,0.710010995255486
2,30,20,20,0.142935446344983,0.135396809168336,0.951874090795617
1,30,5,0,0.141596699353572,0.13512414943414,0.817263442359858
1,30,10,5,0.141055345093092,0.134866270594637,0.781470114960893
1,40,20,20,0.14043064932279,0.134633911239828,0.731931337588822
1,30,5,20,0.141313952655293,0.134328483810443,0.882027699392474
3,20,15,20,0.142816277561021,0.134259612328078,1.08041649279535
3,20,20,15,0.142712847839974,0.134217474809148,1.07267736730157
1,30,5,10,0.139211766475448,0.133278132985417,0.7492165826648
2,20,0,5,0.13950738665702,0.133270040455565,0.787565193199643
1,30,5,15,0.138886163442316,0.133204171614385,0.717442778898386
1,30,15,20,0.139116201954676,0.133109030209744,0.758501969118965
1,30,10,0,0.140842617853161,0.133001571746123,0.990058078022959
2,20,15,15,0.136129188001787,0.132567189251981,0.44975958411821
