max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,40,0,5,0.163048027048319,0.163048027048319,0.0208276042417335,0.718424031460153,0.700945988146522,0.0289724296981832,7307375,677000,6630375
3,30,5,5,0.164101444254539,0.164101444254539,0.0199231726587138,0.716445462993228,0.697407972315976,0.029127683898539,7351125,668750,6682375
2,40,5,0,0.163571340768708,0.163571340768708,0.0179329231836828,0.719928685392807,0.700960708288809,0.0268204057142304,7376625,677375,6699250
3,40,10,5,0.164632082734631,0.164632082734631,0.0184466545805311,0.718788609811423,0.699911589640937,0.0275329673492301,7433500,682750,6750750
2,40,0,0,0.164665986802452,0.164665986802452,0.0206711352229814,0.719498514916861,0.702279598146668,0.0293698996408025,7446250,690750,6755500
4,30,10,10,0.166736234310016,0.166736234310016,0.0216977611218616,0.714155803880572,0.696773487330946,0.0300306679929277,7493875,696000,6797875
4,30,5,10,0.166948045585909,0.166948045585909,0.0225421331568907,0.714704266456527,0.695456203051751,0.0314054007431888,7518750,686625,6832125
4,40,10,10,0.167750158776135,0.167750158776135,0.0219949785918116,0.712350493052892,0.693916392994662,0.0298288015727885,7530000,693500,6836500
3,30,10,0,0.165903466005989,0.165903466005989,0.0205120213440374,0.721814281520146,0.706116621151118,0.028301249281279,7581125,718000,6863125
4,40,5,10,0.168124429576993,0.168124429576993,0.0241984668093345,0.71389128267582,0.693126764581893,0.0329575766830867,7584250,681375,6902875
3,30,0,10,0.167501531772122,0.167501531772122,0.0221000604055523,0.719386817997569,0.69827179768261,0.0304208990061178,7651250,684250,6967000
3,30,5,0,0.167129434044033,0.167129434044033,0.0202824794864185,0.722054927190772,0.69868901780561,0.0300656817057785,7674500,676000,6998500
4,30,10,5,0.168070936788454,0.168070936788454,0.0229564494650806,0.720373391097018,0.696355519537121,0.0325019266510316,7710250,671000,7039250
3,30,0,5,0.1687300037603,0.1687300037603,0.0253038269829273,0.722471039070856,0.696764614338233,0.0351723703265188,7795000,663250,7131750
4,40,10,5,0.171146413266323,0.171146413266323,0.0222953464263406,0.723716687449646,0.695808881953397,0.0329534667000619,7991500,673125,7318375
3,40,0,10,0.171549582481729,0.171549582481729,0.0229173345258827,0.724418890560286,0.698304370866989,0.0319630205370203,8032250,687625,7344625
3,40,5,5,0.171106122250743,0.171106122250743,0.0237916270436959,0.726696929664155,0.700702220120573,0.0355343832740605,8048250,697375,7350875
3,30,0,0,0.171930181973306,0.171930181973306,0.0267816079558409,0.724012623776131,0.692020474094826,0.0392089163975004,8048625,647750,7400875
4,30,5,5,0.172075897154691,0.172075897154691,0.0248744941794558,0.725141000694629,0.695222869863426,0.0367236250430709,8084375,670500,7413875
3,40,10,0,0.17300058637679,0.17300058637679,0.0225212487516334,0.73014544934389,0.702522384109852,0.0334770605856554,8253250,704500,7548750
4,30,0,10,0.17592908133023,0.17592908133023,0.0326563091384,0.730663659279335,0.690675083617324,0.0476614154690116,8460625,635750,7824875
4,30,10,0,0.176550845624222,0.176550845624222,0.0301450712179021,0.731070974345573,0.693244980620471,0.0436091849626631,8511375,654125,7857250
3,40,5,0,0.176906230447736,0.176906230447736,0.0281964646724146,0.734446131890128,0.696247013031988,0.0420857154239734,8611625,665125,7946500
4,40,0,10,0.180096531695822,0.180096531695822,0.0321948396936767,0.734925123200875,0.694733983355841,0.0463513495192678,8831125,676500,8154625
