fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,6,30,5,15,0.168849442580366,0.168849442580366,0.0303726868929276,0.708966119444072,0.667430766011208,0.0415353534328641,7541250,521250,7020000,28,675,22783,49
1,6,30,10,0,0.212583208073867,0.212583208073867,0.0708432276242094,0.769159354005889,0.673689810913786,0.0954695430921037,11647500,556250,11091250,29,686,22772,48
1,6,30,10,5,0.182112293884367,0.182112293884367,0.0429657261663702,0.734745714542845,0.679032324142734,0.0557133904001109,8962500,537500,8425000,30,740,22718,47
1,6,30,10,10,0.175996607294317,0.175996607294317,0.0292255701123212,0.722883049358474,0.680225946787461,0.0426571025710126,8300000,607500,7692500,30,684,22774,47
1,6,30,10,15,0.164835164835165,0.164835164835165,0.0365081686374462,0.712314421356897,0.660042042534156,0.0522723788227406,7332500,420000,6912500,27,717,22741,50
1,6,30,15,0,0.202846219201359,0.202846219201359,0.0548041943685036,0.758855976737304,0.686207900718942,0.0726480760183628,10820000,626250,10193750,31,708,22750,46
1,6,30,15,5,0.175512793402411,0.175512793402411,0.0314205743822378,0.722821473295458,0.679820967675857,0.0430005056196006,8267500,583750,7683750,30,703,22755,47
1,6,30,15,10,0.173248681803508,0.173248681803508,0.031647119303508,0.716025237581203,0.673668496223701,0.0423567413575015,7973750,555000,7418750,29,687,22771,48
1,6,30,15,15,0.165794979079498,0.165794979079498,0.0250182800503717,0.711799395338533,0.673540608083195,0.0382587872553384,7390000,547500,6842500,29,693,22765,48
1,2,40,0,0,0.166968416817542,0.166968416817542,0.0245051815234241,0.721675211199314,0.685333998425481,0.0363412127738326,7662500,575000,7087500,31,749,22709,46
1,2,40,0,5,0.163720369626356,0.163720369626356,0.0204671348758939,0.717329850727653,0.685461886565988,0.0318679641616653,7345000,582500,6762500,31,743,22715,46
1,2,40,0,10,0.164114880416291,0.164114880416291,0.0268779179277278,0.71867962463004,0.678712603791468,0.0399670208385716,7398750,518750,6880000,30,755,22703,47
1,2,40,0,15,0.160683412997051,0.160683412997051,0.0183509979373629,0.710434145988526,0.685312683735397,0.0251214622531291,6998750,573750,6425000,31,750,22708,46
1,2,40,5,0,0.169152237013312,0.169152237013312,0.0281747934042894,0.725871368133667,0.679330729803916,0.0465406383297509,7901250,555000,7346250,30,726,22732,47
