max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,40,10,5,0.5,0.231214263047207,0.221643132469942,0.0117570910910951,0.791157703172954,0.778319724157835,0.0140685187085875,22998000,5369250,17628750
2,20,5,10,1,0.235243246237906,0.22210565691122,0.0143943470725662,0.784278763903296,0.767174395132767,0.0209112374912415,22870750,5217250,17653500
2,30,5,10,1,0.235246225369607,0.22210565691122,0.0143973262042664,0.784279298333994,0.767174395132767,0.0209117719219392,22871000,5217250,17653750
2,40,5,10,1,0.235246225369607,0.22210565691122,0.0143973262042664,0.784279298333994,0.767174395132767,0.0209117719219392,22871000,5217250,17653750
2,30,10,0,0.5,0.231084003112768,0.221565789894535,0.0121504037071871,0.792182108419801,0.779490781156953,0.0164948167194351,23053000,5385000,17668000
2,20,5,0,0.7,0.234367139415939,0.223669569404956,0.0126646776771771,0.787411518778225,0.773328950305617,0.0156256439496475,23003000,5331000,17672000
3,20,5,10,0.7,0.234411127511504,0.223236550568243,0.0153190875663546,0.787174978378049,0.771194629854961,0.0207372999863106,22983250,5293500,17689750
3,30,5,10,0.7,0.234457183475318,0.223272919955809,0.0153287741426027,0.787182994838514,0.77120104298906,0.0207389033126775,22987000,5294250,17692750
3,40,5,10,0.7,0.234457183475318,0.223272919955809,0.0153287741426027,0.787182994838514,0.77120104298906,0.0207389033126775,22987000,5294250,17692750
3,20,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
3,30,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
3,40,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
2,30,0,10,0.5,0.233405559419356,0.222546491687711,0.0108590677316442,0.79059034207136,0.775853196997806,0.0147371450735535,23126500,5353500,17773000
3,40,5,10,0.3,0.233287761545357,0.221863727316025,0.012261034966866,0.792210429815364,0.776577037644611,0.0157852294626118,23217750,5347250,17870500
2,20,0,0,0.7,0.235087754410493,0.220425736143642,0.0146620182668516,0.788998256497045,0.76984871122477,0.0191495452722752,23139250,5227000,17912250
2,30,5,5,0.5,0.234327767838612,0.224156474333062,0.0120152006877101,0.793375817051174,0.780571192191292,0.0133019214694789,23369000,5450750,17918250
2,30,10,5,0.7,0.236756938083432,0.226529608435938,0.0129959555713157,0.791860582964543,0.778650207652094,0.0145574173106965,23448000,5468500,17979500
2,40,10,5,0.7,0.236756938083432,0.226529608435938,0.0129959555713157,0.791860582964543,0.778650207652094,0.0145574173106965,23448000,5468500,17979500
2,20,0,5,1,0.234933305011286,0.220113437763049,0.0148198672482368,0.790717855751875,0.771812016913985,0.0189058388378903,23246750,5244500,18002250
3,30,0,10,0.3,0.234234210394325,0.220984879777352,0.0132493306169728,0.792992093021444,0.775813012005387,0.0171790810160562,23341000,5318500,18022500
3,30,5,10,0.5,0.235719749349708,0.224427169821002,0.0149090122674617,0.793181174158779,0.777991360525071,0.018543556462226,23459750,5421750,18038000
3,40,5,10,0.5,0.235722598872648,0.224427169821002,0.014906162744522,0.793181708589477,0.777991360525071,0.0185430220315283,23460000,5421750,18038250
3,20,5,5,0.5,0.234252609010929,0.221237620421933,0.0137300778911293,0.793441660339156,0.776159752496058,0.0172819078430974,23369500,5328750,18040750
2,40,0,10,0.7,0.236605433878687,0.224452662428574,0.013186151211015,0.791981042951376,0.775296106154798,0.0166849367965782,23443750,5379250,18064500
2,20,0,5,0.7,0.237901346795444,0.222499674432515,0.0154016723629297,0.788314601528102,0.767557480601085,0.0207571209270173,23304250,5231750,18072500
2,30,0,10,0.7,0.236672725105104,0.224440874095048,0.0132652307709582,0.79214265607553,0.775293968443432,0.0168486876320981,23458750,5379000,18079750
3,20,10,0,0.5,0.233409097972429,0.220089497860576,0.0135477974444192,0.794776146911469,0.776226451518181,0.018549695393288,23387750,5306250,18081500
2,30,10,5,1,0.23715129514794,0.224460405510682,0.015180434180208,0.791781806938414,0.775897653437138,0.0181175054319185,23471750,5389000,18082750
2,40,10,5,1,0.23715129514794,0.224460405510682,0.015180434180208,0.791781806938414,0.775897653437138,0.0181175054319185,23471750,5389000,18082750
2,30,0,0,0.5,0.235711415031268,0.223967082097457,0.011744332933811,0.793699789255104,0.777597591938112,0.016138940908426,23490250,5406000,18084250
2,30,0,5,0.5,0.235236175714629,0.22332420873886,0.0119119669757687,0.79399266148573,0.777169615856377,0.0168230456293527,23475750,5386250,18089500
3,20,5,10,1,0.237420107385805,0.221656454671576,0.0164868844990303,0.78869202040173,0.766791314142959,0.022176745292089,23299000,5202750,18096250
3,30,5,10,1,0.237420107385805,0.221656454671576,0.0164868844990303,0.78869202040173,0.766791314142959,0.022176745292089,23299000,5202750,18096250
3,40,5,10,1,0.237420107385805,0.221656454671576,0.0164868844990303,0.78869202040173,0.766791314142959,0.022176745292089,23299000,5202750,18096250
2,30,5,0,0.5,0.234666964256422,0.221329275529588,0.013337688726834,0.793964978724708,0.776185405763638,0.0177795729610694,23432500,5331750,18100750
2,20,10,0,1,0.237590669948409,0.222139467675701,0.0166860076323126,0.789389353240688,0.769514360817451,0.0203853249163766,23352500,5248500,18104000
3,30,5,0,0.3,0.233175840892422,0.219353911395228,0.0143284521534896,0.795561873992508,0.776678370658151,0.0188835033343576,23422000,5298500,18123500
2,20,0,0,1,0.237233911059832,0.219538068973563,0.0176958420862691,0.788740762235842,0.76605764213692,0.0226831200989219,23291500,5147250,18144250
2,20,10,5,1,0.237763558437079,0.223378377822988,0.0152058469361702,0.790989024780135,0.772125824528468,0.0191531328151353,23464500,5311500,18153000
2,20,5,0,1,0.237894091131689,0.221442065567741,0.0164520255639471,0.789602271043482,0.766729315852033,0.0228729551914497,23391500,5195500,18196000
2,40,0,10,0.5,0.236793670662244,0.222897931326634,0.0138957393356099,0.79352449312036,0.774431598713053,0.0190928944073072,23559750,5338750,18221000
3,40,10,5,0.3,0.235146894288558,0.222918196948044,0.0129208073609824,0.79764809232038,0.780929050797273,0.0169940142312877,23701000,5432000,18269000
2,20,5,5,1,0.237778199685006,0.220530031321119,0.0172481683638872,0.790412581642432,0.765659166969282,0.0247534146731504,23437250,5161250,18276000
2,30,10,0,0.7,0.239140933710324,0.228610447533933,0.0128584487648451,0.795442578308744,0.781430549464264,0.0179826895061003,23851000,5551250,18299750
2,20,0,10,1,0.237279125294972,0.218846207354595,0.0184329179403774,0.792470051593652,0.767740475976525,0.0247295756171273,23521000,5162250,18358750
2,40,5,5,0.5,0.237882949023853,0.224841013918725,0.0130419351051274,0.796720948621018,0.779840936216834,0.0184642634663607,23843000,5456250,18386750
3,20,0,10,0.5,0.236751555624548,0.221725478833857,0.0150260767906905,0.796361061485239,0.77509344902057,0.0212676124646684,23735250,5325250,18410000
3,30,0,5,0.3,0.235364625645249,0.21839274906553,0.0171816027218882,0.796786368507846,0.773824915867176,0.02296145264067,23661500,5237500,18424000
2,40,10,0,0.5,0.237824896720964,0.22528482699307,0.0146047221580615,0.798433065828944,0.781405763173883,0.0190434626568669,23947000,5487750,18459250
3,20,5,0,0.5,0.236633642090677,0.221047467370605,0.0173769077990056,0.797461465094442,0.776134098360196,0.0222432306592852,23795500,5325750,18469750
3,40,10,5,0.5,0.237447985038529,0.222193158582669,0.0152548264558597,0.797316737765206,0.776621931731158,0.0206948060340485,23849000,5352500,18496500
3,30,10,5,0.5,0.237365336773807,0.222073118642502,0.0152922181313051,0.797452163796597,0.776596279149064,0.0208558846475332,23851750,5349500,18502250
3,30,0,0,0.3,0.235761418235811,0.219355225720809,0.0164061925150022,0.800066517540458,0.777290624228563,0.0227758933118949,23893000,5309500,18583500
2,30,5,5,0.7,0.240442299520665,0.223259929035182,0.0171823704854829,0.796049159014024,0.773870656156309,0.0221785028577145,23983250,5333750,18649500
3,40,5,5,0.3,0.240118985950243,0.225082270182101,0.0150367157681424,0.79884243995188,0.777792123809535,0.021050316142345,24138500,5428750,18709750
3,20,10,5,0.7,0.241642378461548,0.226319814469036,0.0160965676514629,0.797307645352023,0.776256796578407,0.0210508487736156,24147750,5431000,18716750
